iter	Passed	Remaining
413	3437	6526
414	3446	6518
415	3454	6511
416	3463	6503
417	3472	6496
418	3481	6488
419	3490	6481
420	3498	6473
421	3507	6465
422	3515	6458
423	3524	6449
424	3533	6442
425	3541	6434
426	3549	6426
427	3558	6419
428	3567	6411
429	3575	6403
430	3584	6395
431	3593	6387
432	3601	6379
433	3609	6370
434	3618	6363
435	3627	6356
436	3636	6349
437	3646	6343
438	3655	6336
439	3664	6329
440	3673	6322
441	3682	6314
442	3691	6307
443	3699	6299
444	3708	6292
445	3717	6284
446	3726	6276
447	3734	6268
448	3742	6260
449	3751	6251
450	3759	6243
451	3768	6236
452	3777	6228
453	3785	6219
454	3794	6212
455	3802	6203
456	3810	6195
457	3819	6187
458	3827	6179
459	3836	6171
460	3845	6164
461	3853	6155
462	3862	6147
463	3870	6139
464	3878	6131
465	3887	6122
466	3895	6113
467	3903	6106
468	3912	6097
469	3921	6090
470	3929	6081
471	3937	6073
472	3946	6065
473	3954	6056
474	3963	6048
475	3972	6041
476	3980	6033
477	3989	6025
478	3997	6017
479	4006	6009
480	4014	6001
481	4023	5992
482	4032	5985
483	4040	5976
484	4048	5968
485	4057	5961
486	4066	5952
487	4074	5944
488	4083	5936
489	4091	5928
490	4099	5919
491	4108	5912
492	4117	5904
493	4126	5897
494	4134	5888
495	4143	5880
496	4151	5872
497	4160	5864
498	4168	5856
499	4177	5848
500	4186	5840
501	4195	5833
502	4204	5826
503	4213	5818
504	4221	5810
505	4230	5802
506	4239	5794
507	4247	5785
508	4256	5777
509	4264	5770
510	4273	5761
511	4281	5753
512	4290	5745
513	4298	5737
514	4306	5728
515	4315	5720
516	4323	5712
517	4332	5704
518	4341	5696
519	4349	5687
520	4357	5678
521	4366	5671
522	4375	5663
523	4382	5654
524	4391	5645
525	4399	5637
526	4408	5629
527	4417	5622
528	4425	5613
529	4434	5605
530	4442	5596
531	4450	5588
532	4458	5579
533	4467	5571
534	4476	5563
535	4484	5555
536	4492	5547
537	4501	5538
538	4510	5530
539	4519	5523
540	4528	5516
541	4537	5509
542	4546	5500
543	4554	5492
544	4563	5484
545	4571	5475
546	4580	5467
547	4588	5459
548	4597	5451
549	4605	5443
550	4614	5435
551	4623	5427
552	4632	5420
553	4642	5412
554	4651	5405
555	4660	5398
556	4668	5389
557	4676	5380
558	4685	5372
559	4694	5364
560	4702	5356
561	4711	5348
562	4720	5341
563	4729	5333
564	4737	5323
565	4745	5315
566	4754	5307
567	4762	5299
568	4771	5291
569	4780	5283
570	4788	5275
571	4796	5266
572	4804	5257
573	4812	5249
574	4821	5240
575	4830	5233
576	4839	5225
577	4847	5216
578	4856	5208
579	4864	5200
580	4872	5191
581	4881	5183
582	4889	5174
583	4897	5166
584	4906	5158
585	4914	5149
586	4923	5141
587	4931	5132
588	4940	5124
589	4948	5116
590	4957	5108
591	4965	5099
592	4974	5091
593	4982	5083
594	4990	5074
595	4999	5066
596	5007	5057
597	5031	5065
598	5039	5056
599	5048	5048
600	5056	5039
601	5064	5031
602	5073	5022
603	5081	5014
604	5090	5006
605	5099	4998
606	5107	4989
607	5115	4981
608	5124	4972
609	5131	4963
610	5140	4955
611	5148	4946
612	5157	4938
613	5165	4929
614	5174	4921
615	5182	4913
616	5191	4905
617	5199	4896
618	5208	4888
619	5216	4880
620	5224	4871
621	5233	4863
622	5241	4854
623	5250	4846
624	5259	4838
625	5268	4830
626	5276	4822
627	5284	4813
628	5293	4805
629	5302	4797
630	5310	4788
631	5319	4780
632	5328	4772
633	5336	4764
634	5344	4755
635	5352	4746
636	5361	4738
637	5369	4729
638	5377	4721
639	5386	4713
640	5395	4704
641	5403	4696
642	5412	4688
643	5421	4680
644	5431	4673
645	5439	4665
646	5448	4657
647	5457	4648
648	5466	4641
649	5475	4633
650	5483	4624
651	5492	4616
652	5500	4607
653	5509	4599
654	5517	4591
655	5525	4582
656	5534	4574
657	5543	4566
658	5551	4557
659	5560	4549
660	5568	4541
661	5577	4532
662	5585	4524
663	5593	4515
664	5601	4506
665	5610	4498
666	5619	4490
667	5628	4482
668	5636	4473
669	5644	4465
670	5653	4457
671	5663	4449
672	5671	4440
673	5679	4432
674	5688	4424
675	5697	4416
676	5705	4407
677	5713	4399
678	5721	4390
679	5730	4382
680	5739	4373
681	5747	4365
682	5756	4357
683	5765	4349
684	5773	4340
685	5782	4332
686	5790	4324
687	5799	4315
688	5807	4306
689	5815	4298
690	5823	4290
691	5832	4282
692	5841	4273
693	5849	4265
694	5858	4257
695	5866	4248
696	5875	4240
697	5883	4231
698	5891	4222
