iter	Logloss
0	0.676898533
1	0.6620907315
2	0.6463802808
3	0.6318415277
4	0.620692714
5	0.6092575874
6	0.6011378492
7	0.5936311951
8	0.5860861342
9	0.5770847912
10	0.570499416
11	0.5649980398
12	0.5597765467
13	0.5562295369
14	0.5512429706
15	0.5453929166
16	0.5410309569
17	0.5364356714
18	0.5321566564
19	0.528983281
20	0.5263076553
21	0.5227152782
22	0.5201777444
23	0.5168181059
24	0.5137905807
25	0.511862302
26	0.5095294064
27	0.5069282589
28	0.5059173396
29	0.5038251917
30	0.5022452932
31	0.5008787479
32	0.4997054169
33	0.4985263288
34	0.497413052
35	0.4957670651
36	0.4948999131
37	0.4940961954
38	0.4928076277
39	0.4916630616
40	0.4904190365
41	0.4894457134
42	0.4885087517
43	0.4875626581
44	0.4864277044
45	0.4853587567
46	0.4845739732
47	0.4838652472
48	0.4829274139
49	0.4820438449
50	0.4812306334
51	0.4803109363
52	0.4794305676
53	0.4785017037
54	0.4776975156
55	0.4771184797
56	0.4764840212
57	0.4756443264
58	0.4747415082
59	0.4744065084
60	0.4737333509
61	0.4733066178
62	0.4727017463
63	0.4719980165
64	0.4714293259
65	0.4711473107
66	0.4706631449
67	0.4700783319
68	0.4696823079
69	0.468921427
70	0.4681428211
71	0.4675460875
72	0.4670551371
73	0.4666809671
74	0.4662057606
75	0.4659076247
76	0.4654411522
77	0.464782278
78	0.4643651218
79	0.4637576575
80	0.4633271278
81	0.4629722522
82	0.4625169128
83	0.462144584
84	0.4617237954
85	0.4615705713
86	0.4613355455
87	0.4608446464
88	0.4603880401
89	0.460235369
90	0.4596361598
91	0.4592142913
92	0.458834671
93	0.4585019886
94	0.4580922126
95	0.4578262084
96	0.4574242753
97	0.4569349986
98	0.4564671535
99	0.4561659928
100	0.4558629268
101	0.455417657
102	0.455204146
103	0.4549169633
104	0.4545207727
105	0.4543585728
106	0.4541013169
107	0.4537930708
108	0.4535416286
109	0.4532064592
110	0.4528838408
111	0.4525469449
112	0.4523611041
113	0.4520736045
114	0.4518741118
115	0.4514767268
116	0.451252134
117	0.4510881863
118	0.4507121932
119	0.4504273408
120	0.4501658822
121	0.4498749736
122	0.4496490863
123	0.449403324
124	0.4492249522
125	0.4489330597
126	0.4487492344
127	0.4484863295
128	0.4483291185
129	0.4481540048
130	0.4479373195
131	0.4476832932
132	0.4474612305
133	0.4471763981
134	0.4468336462
135	0.4465382409
136	0.4463097426
137	0.4459948362
138	0.4457501649
139	0.4454904171
140	0.4453166654
141	0.4450457544
142	0.4449471313
143	0.4447590976
144	0.4446058852
145	0.4444442908
146	0.4441844379
147	0.4438899429
148	0.4436696235
149	0.4434224519
150	0.4432071013
151	0.4429432238
152	0.4427197964
153	0.4425115696
154	0.4422620471
155	0.4420083918
156	0.4418217912
157	0.4415254723
158	0.4412566388
159	0.4410070786
160	0.4407765474
161	0.4404056329
162	0.4400207973
163	0.4397975421
164	0.4396845105
165	0.4395037097
166	0.4391919432
167	0.4389156215
168	0.4386058347
169	0.4382212137
170	0.4379335748
171	0.4376369599
172	0.4373772082
173	0.4370356226
174	0.4367994067
175	0.4365140563
176	0.4361288905
177	0.4358374939
178	0.4356650806
179	0.4353758233
180	0.4350000525
181	0.4346921577
182	0.4344048549
183	0.4341232111
184	0.4338108926
185	0.4334999584
186	0.4331886866
187	0.4329376712
188	0.4324667709
189	0.4320590607
190	0.4317508354
191	0.4313079718
192	0.4309173167
193	0.430550553
194	0.430021148
195	0.4296178001
196	0.4291896436
197	0.4286299207
198	0.4280901099
199	0.4273770167
200	0.4269841393
201	0.4264305442
202	0.4259490549
203	0.4253365629
204	0.4248473366
205	0.4242853316
206	0.4236615013
207	0.4231242041
208	0.4224150497
209	0.4218317299
210	0.4213581257
211	0.4207551265
212	0.4202462776
213	0.4194493318
214	0.4186109121
215	0.4180306764
216	0.4174151135
217	0.4169153618
218	0.4163558148
219	0.4157458972
220	0.4151817457
221	0.414519485
222	0.4139491566
223	0.413425379
224	0.4128174274
225	0.4121873807
226	0.4115885235
227	0.4109282936
228	0.4102889436
229	0.4097450969
230	0.4091780111
231	0.4085687519
232	0.4079115827
233	0.4071042345
234	0.4065132738
235	0.4059961808
236	0.4054886271
237	0.4048641231
238	0.404256821
239	0.4036581517
240	0.4028791009
241	0.4022840018
242	0.401693517
243	0.4011310085
244	0.4006594003
245	0.4000460003
246	0.3994878206
247	0.3990163117
248	0.3985163905
249	0.3979672103
250	0.3974961489
251	0.3969691661
252	0.396397748
253	0.3958196573
254	0.3953301271
255	0.3948866826
256	0.3944010815
257	0.3938343262
258	0.3932921565
259	0.3928053796
260	0.3923860253
261	0.3919070198
262	0.3913668729
263	0.3908160457
264	0.3902453934
265	0.389804037
266	0.3893745074
267	0.388920159
268	0.3883676033
269	0.3878443256
270	0.3872270182
271	0.3867876787
272	0.3863732249
273	0.3859176768
274	0.3854688273
275	0.3849873923
276	0.3845277009
277	0.384105353
278	0.3835634628
279	0.38306232
280	0.3824658673
281	0.3820174347
282	0.38154278
283	0.3810833666
284	0.3806252741
285	0.3802202167
286	0.3797421139
287	0.3792402346
288	0.3787809608
289	0.3782918086
290	0.3778310021
291	0.3774517083
292	0.3769153855
293	0.3764255631
294	0.3759668198
295	0.3755693778
296	0.3751763645
297	0.3745721226
298	0.3740449236
299	0.3735788238
300	0.3731298122
301	0.372748753
302	0.3724238099
303	0.3720781793
304	0.3716443262
305	0.3712103792
306	0.3707154145
307	0.3702744504
308	0.3698523853
309	0.3693546251
310	0.3689425155
311	0.3685136854
312	0.3681721264
313	0.3677016589
314	0.3672934389
315	0.3668890413
316	0.3665304596
317	0.3661343515
318	0.3657526971
319	0.36532053
320	0.3649371878
321	0.3646183652
322	0.3641652376
323	0.3638062207
324	0.3633782365
325	0.363071852
326	0.3626372859
327	0.362274392
328	0.3618341617
329	0.3613338229
330	0.3609398566
331	0.3605199661
332	0.3601522177
333	0.3597109901
334	0.3593650542
335	0.3590317032
336	0.358654748
337	0.3582692019
338	0.3579296494
339	0.3574470835
340	0.3570250411
341	0.3566311273
342	0.3562972061
343	0.3559824651
344	0.3556107043
345	0.3551582698
346	0.3548974798
347	0.3544690961
348	0.3540711451
349	0.3536011356
350	0.3532426445
351	0.3528536009
352	0.3524110443
353	0.3519792656
