iter	Passed	Remaining
0	17	1719
1	37	1822
2	60	1951
3	78	1885
4	101	1931
5	126	1978
6	149	1985
7	175	2019
8	204	2065
9	232	2088
10	258	2090
11	282	2073
12	306	2052
13	329	2025
14	353	2001
15	376	1974
16	398	1943
17	419	1911
18	440	1877
19	460	1842
20	481	1811
21	502	1782
22	522	1750
23	548	1736
24	568	1706
25	589	1677
26	610	1650
27	631	1623
28	654	1602
29	675	1575
30	695	1548
31	717	1524
32	739	1501
33	763	1481
34	786	1461
35	809	1439
36	831	1416
37	857	1399
38	878	1373
39	898	1348
40	919	1323
41	940	1298
42	961	1274
43	981	1249
44	1002	1224
45	1022	1200
46	1043	1176
47	1064	1153
48	1085	1129
49	1107	1107
50	1127	1083
51	1148	1060
52	1169	1037
53	1191	1014
54	1211	991
55	1232	968
56	1253	945
57	1274	923
58	1296	900
59	1317	878
60	1337	855
61	1358	832
62	1378	809
63	1399	787
64	1420	764
65	1440	742
66	1461	719
67	1482	697
68	1502	675
69	1525	653
70	1548	632
71	1570	610
72	1590	588
73	1610	565
74	1631	543
75	1651	521
76	1671	499
77	1692	477
78	1715	456
79	1736	434
80	1756	412
81	1779	390
82	1800	368
83	1821	347
84	1842	325
85	1863	303
86	1884	281
87	1905	259
88	1926	238
89	1947	216
90	1968	194
91	1989	172
92	2009	151
93	2030	129
94	2051	107
95	2072	86
96	2094	64
97	2119	43
98	2140	21
99	2160	0
