iter	Passed	Remaining
0	4	5476
1	9	5395
2	13	5495
3	17	5369
4	22	5264
5	26	5217
6	31	5362
7	36	5371
8	40	5382
9	45	5438
10	50	5405
11	54	5437
12	59	5447
13	64	5452
14	69	5463
15	74	5481
16	79	5500
17	84	5522
18	89	5533
19	93	5526
20	99	5571
21	104	5577
22	109	5583
23	113	5584
24	118	5591
25	123	5584
26	128	5576
27	133	5579
28	137	5562
29	142	5549
30	146	5536
31	151	5526
32	155	5513
33	160	5495
34	164	5490
35	169	5487
36	174	5478
37	179	5480
38	183	5469
39	188	5461
40	193	5480
41	198	5470
42	202	5457
43	207	5458
44	212	5446
45	217	5444
46	222	5449
47	226	5441
48	231	5433
49	236	5429
50	240	5421
51	245	5420
52	249	5408
53	254	5396
54	258	5380
55	262	5372
56	267	5371
57	272	5372
58	277	5361
59	281	5354
60	286	5345
61	291	5342
62	295	5338
63	300	5329
64	304	5315
65	308	5303
66	313	5295
67	317	5288
68	321	5276
69	326	5273
70	330	5260
71	335	5256
72	340	5249
73	344	5244
74	349	5237
75	353	5233
76	358	5230
77	363	5233
78	368	5224
79	372	5214
80	376	5205
81	381	5198
82	385	5187
83	389	5179
84	394	5177
85	399	5171
86	404	5171
87	408	5163
88	413	5157
89	418	5160
90	423	5155
91	428	5155
92	432	5152
93	437	5150
94	442	5145
95	446	5140
96	451	5135
97	456	5128
98	460	5122
99	465	5120
100	469	5112
101	474	5104
102	478	5099
103	483	5096
104	487	5086
105	491	5075
106	496	5069
107	500	5065
108	505	5059
109	510	5056
110	514	5049
111	519	5042
112	523	5034
113	527	5029
114	532	5023
115	536	5017
116	541	5010
117	545	5002
118	549	4992
119	553	4985
120	558	4977
121	563	4979
122	567	4971
123	572	4968
124	577	4963
125	582	4960
126	586	4953
127	590	4945
128	594	4936
129	598	4929
130	604	4930
131	608	4919
132	612	4913
133	616	4905
134	620	4897
135	625	4891
136	629	4884
137	633	4878
138	638	4870
139	642	4864
140	646	4854
141	650	4847
142	654	4838
143	658	4829
144	662	4822
145	666	4812
146	671	4809
147	675	4802
148	679	4792
149	683	4784
150	687	4775
151	691	4764
152	695	4759
153	699	4753
154	703	4743
155	707	4736
156	711	4728
157	715	4719
158	719	4712
159	723	4703
160	727	4695
161	731	4689
162	735	4682
163	740	4677
164	744	4669
165	748	4662
166	752	4655
167	757	4650
168	760	4641
169	765	4635
170	769	4628
171	773	4625
172	777	4617
173	782	4612
174	787	4610
175	791	4604
176	795	4598
177	800	4595
178	804	4588
179	808	4582
180	812	4575
181	817	4570
182	820	4562
183	824	4554
184	828	4546
185	832	4539
186	836	4531
187	840	4526
188	844	4519
189	849	4513
190	853	4506
191	857	4500
192	862	4498
