iter	Logloss
0	0.6911298956
1	0.6888634518
2	0.6870726869
3	0.6856607025
4	0.6832486895
5	0.6806432156
6	0.6782461089
7	0.6762399407
8	0.6736675527
9	0.6715041616
10	0.6691022123
11	0.6677923262
12	0.666025265
13	0.663625676
14	0.6621315184
15	0.66002757
16	0.6589214622
17	0.6572443193
18	0.6555519
19	0.6539926488
20	0.6523646382
21	0.6509615997
22	0.6497926093
23	0.6478515234
24	0.6451637844
25	0.644193613
26	0.6430361388
27	0.6415057393
28	0.6401608214
29	0.6383018039
30	0.6374912185
31	0.6359630321
32	0.6339468591
33	0.6326088719
34	0.6312495539
35	0.6303965632
36	0.6287200133
37	0.6272106554
38	0.6261616394
39	0.6251946378
40	0.6237821443
41	0.622991371
42	0.6217899504
43	0.6209769635
44	0.6198395064
45	0.618461045
46	0.6176068074
47	0.6169017242
48	0.61568033
49	0.6138053154
50	0.6127649843
51	0.6110046316
52	0.6096890589
53	0.6084488082
54	0.607501422
55	0.6061032379
56	0.6048609022
57	0.6037053525
58	0.6026526802
59	0.6014751525
60	0.6002982704
61	0.5996396272
62	0.5984814061
63	0.5973722184
64	0.5965754249
65	0.5955723818
66	0.5945347518
67	0.593524395
68	0.592661943
69	0.5914211207
70	0.5904545331
71	0.5890752147
72	0.5882748798
73	0.5868830334
74	0.5858986775
75	0.5845956709
76	0.5835943691
77	0.5824655731
78	0.5812850291
79	0.5804306969
80	0.5795941263
81	0.5787431072
82	0.5785116419
83	0.5774280305
84	0.5765919525
85	0.5757873216
86	0.5750376404
87	0.5743607085
88	0.5736878797
89	0.5728695739
90	0.5723868554
91	0.571477845
92	0.5708098225
93	0.5696832575
94	0.5687993389
95	0.5676223433
96	0.5667491442
97	0.5661487921
98	0.5649495109
99	0.5645642241
100	0.563913686
101	0.5628131165
102	0.5623777424
103	0.5620606865
104	0.5612143947
105	0.5606099995
106	0.5599797072
107	0.5590034324
108	0.5586212886
109	0.5573204536
110	0.5566454017
111	0.5559965607
112	0.5553367923
113	0.5545783014
114	0.5541181008
115	0.5537690549
116	0.5530651249
117	0.5523461184
118	0.5515175722
119	0.551110457
120	0.5503561583
121	0.5498726033
122	0.5493157253
123	0.5486799022
124	0.5484215316
125	0.5483158833
126	0.5478882819
127	0.5471796569
128	0.5467704297
129	0.546199596
130	0.5458438504
131	0.5447732948
132	0.543983067
133	0.5434823269
134	0.5429034881
135	0.5425052939
136	0.5419489232
137	0.5413757445
138	0.5406111312
139	0.5398619466
140	0.539487299
141	0.5389183677
142	0.5381667316
143	0.5376804314
144	0.5371049118
145	0.5365761117
146	0.5363214199
147	0.5358191293
148	0.535313909
149	0.534829453
150	0.5344255256
151	0.5340749092
152	0.5332740442
153	0.5328578505
154	0.5326111237
155	0.5320397924
156	0.5315755393
157	0.5312472477
158	0.5305175279
159	0.530377671
160	0.5300081328
161	0.5294152705
162	0.5291450932
163	0.5288382859
164	0.5286613355
165	0.5282942468
166	0.5280914122
167	0.527892276
168	0.5276548079
169	0.5274305332
