iter	Passed	Remaining
0	4	4850
1	8	4899
2	12	4929
3	16	4900
4	20	4870
5	24	4912
6	28	4874
7	32	4846
8	36	4811
9	40	4816
10	44	4807
11	48	4801
12	52	4784
13	72	6145
14	76	6042
15	81	6016
16	85	5950
17	89	5897
18	94	5871
19	99	5841
20	103	5807
21	107	5774
22	112	5734
23	116	5714
24	121	5698
25	125	5657
26	129	5627
27	133	5600
28	138	5588
29	142	5564
30	147	5573
31	152	5551
32	157	5563
33	162	5572
34	166	5552
35	171	5538
36	176	5550
37	181	5560
38	186	5559
39	191	5552
40	195	5538
41	200	5523
42	204	5505
43	209	5498
44	213	5489
45	218	5476
46	223	5484
47	228	5494
48	233	5490
49	238	5486
50	243	5481
51	247	5474
52	252	5470
53	257	5463
54	262	5457
55	266	5453
56	271	5441
57	276	5442
58	280	5428
59	285	5428
60	290	5423
61	294	5411
62	300	5416
63	304	5409
64	309	5401
65	313	5394
66	318	5390
67	323	5384
68	328	5381
69	333	5377
70	337	5371
71	343	5380
72	347	5370
73	352	5368
74	357	5364
75	362	5361
76	366	5351
77	372	5354
78	377	5357
79	382	5350
80	386	5343
81	391	5333
82	407	5486
83	412	5479
84	416	5463
85	420	5450
86	425	5438
87	429	5426
88	433	5413
89	437	5401
90	441	5386
91	445	5369
92	449	5353
93	453	5341
94	458	5329
95	462	5313
96	466	5300
97	470	5292
98	475	5289
99	480	5281
100	484	5273
101	489	5270
102	494	5265
103	499	5264
104	504	5258
105	509	5262
106	514	5259
107	519	5253
108	524	5246
109	528	5238
110	533	5232
111	537	5222
112	542	5216
113	546	5207
114	551	5201
115	555	5194
116	560	5189
117	565	5181
118	570	5180
119	574	5174
120	579	5168
121	584	5160
122	588	5152
123	592	5144
124	597	5138
125	601	5130
126	606	5120
127	610	5112
128	614	5102
129	618	5094
130	622	5083
131	626	5071
132	630	5061
133	635	5053
134	639	5044
135	644	5040
136	648	5030
137	653	5028
138	657	5020
139	661	5008
140	668	5019
141	672	5008
142	676	5001
143	681	4996
144	685	4989
145	690	4983
146	694	4976
147	698	4967
148	703	4961
149	707	4954
150	711	4945
151	715	4936
152	720	4928
153	724	4921
154	728	4914
155	733	4907
156	737	4901
157	742	4899
158	747	4892
159	751	4885
160	756	4882
161	761	4878
162	766	4874
163	771	4870
164	775	4867
165	779	4857
166	783	4849
167	788	4841
168	792	4836
169	796	4827
170	800	4819
171	805	4813
172	810	4810
173	814	4804
174	818	4795
175	822	4786
176	826	4777
177	830	4767
178	834	4758
179	838	4750
180	842	4743
181	846	4736
182	850	4728
183	854	4719
184	858	4711
185	862	4703
186	866	4695
187	870	4686
188	874	4678
189	878	4670
190	883	4665
191	887	4657
192	891	4650
193	895	4646
194	900	4639
195	904	4633
196	908	4626
197	912	4618
198	916	4610
199	920	4603
200	924	4597
201	929	4589
202	933	4584
203	937	4579
204	942	4574
205	946	4568
206	952	4567
