iter	Passed	Remaining
0	17	1781
1	34	1703
2	51	1668
3	73	1765
4	101	1928
5	122	1926
6	144	1923
7	168	1938
8	191	1933
9	213	1920
10	234	1900
11	257	1886
12	278	1864
13	300	1848
14	323	1833
15	345	1816
16	368	1796
17	390	1779
18	412	1757
19	434	1738
20	455	1713
21	476	1691
22	498	1668
23	521	1649
24	543	1630
25	565	1610
26	586	1586
27	609	1566
28	630	1544
29	654	1528
30	675	1504
31	696	1479
32	718	1458
33	739	1435
34	761	1414
35	783	1392
36	803	1367
37	823	1343
38	843	1319
39	864	1297
40	885	1273
41	906	1252
42	930	1233
43	953	1213
44	975	1192
45	998	1171
46	1018	1148
47	1042	1129
48	1063	1106
49	1084	1084
50	1104	1061
51	1124	1038
52	1145	1015
53	1166	993
54	1186	970
55	1207	948
56	1228	926
57	1250	905
58	1271	883
59	1292	861
60	1313	839
61	1334	817
62	1355	795
63	1375	773
64	1398	753
65	1420	731
66	1446	712
67	1467	690
68	1489	669
69	1510	647
70	1532	625
71	1554	604
72	1574	582
73	1596	560
74	1617	539
75	1637	517
76	1658	495
77	1679	473
78	1699	451
79	1721	430
80	1745	409
81	1770	388
82	1794	367
83	1820	346
84	1845	325
85	1870	304
86	1895	283
87	1918	261
88	1939	239
89	1961	217
90	1982	196
91	2003	174
92	2024	152
93	2044	130
94	2065	108
95	2087	86
96	2109	65
97	2130	43
98	2151	21
99	2173	0
