iter	Logloss
0	0.6898188168
1	0.6885588136
2	0.6865467515
3	0.6845181188
4	0.6826293722
5	0.6795278774
6	0.6762047831
7	0.6732829633
8	0.6718744464
9	0.6696942752
10	0.6669088149
11	0.6648983665
12	0.6630910594
13	0.6619443873
14	0.659016791
15	0.6565309928
16	0.6532104043
17	0.6516538373
18	0.6483376784
19	0.645615146
20	0.6434491424
21	0.6423135288
22	0.6404402397
23	0.6382901367
24	0.6374432168
25	0.635012229
26	0.6330104535
27	0.6314689287
28	0.6295575519
29	0.6276729626
30	0.6257406207
31	0.6239899907
32	0.6226839203
33	0.6213567208
34	0.6201099667
35	0.6182559321
36	0.6169515194
37	0.6148114581
38	0.6133919287
39	0.6111487967
40	0.6094876412
41	0.6076744481
42	0.6062104099
43	0.6051492913
44	0.6044343759
45	0.6036182999
46	0.6025983146
47	0.6009409578
48	0.5998746655
49	0.5985078568
50	0.5968580507
51	0.5960161989
52	0.5944744901
53	0.5933437639
54	0.5915864317
55	0.5897068862
56	0.5888857063
57	0.5877371464
58	0.587444316
59	0.5858579707
60	0.5852670419
61	0.5842130964
62	0.5832012334
63	0.5825423742
64	0.5815296289
65	0.5802691202
66	0.5790395254
67	0.5782990575
68	0.5775097751
69	0.5765662557
70	0.5756831877
71	0.5751254334
72	0.5741063545
73	0.5732514807
74	0.5723505862
75	0.5719947313
76	0.5712891311
77	0.5703685463
78	0.5691630695
79	0.5683196103
80	0.5682821531
81	0.5680915977
82	0.5668479983
83	0.5666684375
84	0.5663732009
85	0.5656272508
86	0.5648428642
87	0.5641257709
88	0.5634501947
89	0.5632964183
90	0.5623476466
91	0.5617176727
92	0.5612569751
93	0.5606420518
94	0.5600179423
95	0.5588917044
96	0.5583710675
97	0.5574885362
98	0.5567837497
99	0.5557737604
