iter	Logloss
0	0.6081772945
1	0.5543979194
2	0.5205147391
3	0.4931938341
4	0.4748998587
5	0.4632511735
6	0.4549189732
7	0.4466316136
8	0.4401262778
9	0.4338443682
10	0.4287566936
11	0.4247937099
12	0.4193471509
13	0.416246452
14	0.4148569847
15	0.4113150018
16	0.4103487425
17	0.4073597594
18	0.4034570384
19	0.4003165239
20	0.3981553073
21	0.3959605679
22	0.3935163906
23	0.3916358467
24	0.3890500373
25	0.3878621169
26	0.3865539924
27	0.3844408513
28	0.3812065488
29	0.3788720062
30	0.3760237405
31	0.3750858391
32	0.3739258649
33	0.3719108295
34	0.3693784888
35	0.3675739669
36	0.3675178965
37	0.365692616
38	0.3649588877
39	0.3644535728
40	0.3633507283
41	0.3610830426
42	0.3597901556
43	0.357725018
44	0.3563999207
45	0.3539353438
46	0.351433151
47	0.3496924515
48	0.3490134333
49	0.3478000582
50	0.3468492866
51	0.3458220405
52	0.3440290481
53	0.3417251319
54	0.3401813759
55	0.3381531295
