iter	Passed	Remaining
0	17	1693
1	37	1859
2	54	1773
3	77	1869
4	103	1960
5	125	1962
6	146	1942
7	162	1873
8	184	1865
9	206	1858
10	227	1838
11	249	1832
12	272	1824
13	294	1807
14	318	1805
15	341	1793
16	365	1785
17	388	1771
18	412	1759
19	436	1747
20	461	1734
21	485	1719
22	509	1707
23	534	1691
24	561	1685
25	585	1665
26	606	1638
27	626	1612
28	648	1588
29	669	1561
30	689	1535
31	710	1510
32	731	1485
33	753	1461
34	774	1437
35	795	1414
36	816	1389
37	837	1367
38	858	1342
39	879	1318
40	899	1294
41	920	1271
42	941	1247
43	961	1224
44	982	1200
45	1003	1177
46	1024	1154
47	1045	1132
48	1065	1109
49	1086	1086
50	1109	1065
51	1130	1043
52	1151	1020
53	1172	998
54	1193	976
55	1214	954
56	1236	932
57	1256	910
58	1284	892
59	1308	872
60	1329	849
61	1350	827
62	1370	805
63	1393	783
64	1416	762
65	1437	740
66	1457	718
67	1479	696
68	1499	673
69	1520	651
70	1542	630
71	1563	607
72	1583	585
73	1604	563
74	1626	542
75	1646	520
76	1667	497
77	1689	476
78	1713	455
79	1738	434
80	1762	413
81	1788	392
82	1812	371
83	1834	349
84	1856	327
85	1877	305
86	1898	283
87	1920	261
88	1941	239
89	1961	217
90	1982	196
91	2003	174
92	2025	152
93	2046	130
94	2068	108
95	2091	87
96	2113	65
97	2133	43
98	2154	21
99	2175	0
