iter	Logloss
0	0.6897230835
1	0.6854115057
2	0.6837459958
3	0.6804218162
4	0.6785660041
5	0.6755476139
6	0.6716346904
7	0.6686958759
8	0.6673689828
9	0.6642592717
10	0.661419201
11	0.6591730035
12	0.6574687884
13	0.6560065389
14	0.6538418982
15	0.6514450325
16	0.6482962237
17	0.6456769326
18	0.6434795467
19	0.6418435966
20	0.6402740411
21	0.6387221486
22	0.637380654
23	0.634995073
24	0.6329274755
25	0.6320146682
26	0.6294339077
27	0.628526359
28	0.6275889988
29	0.625746343
30	0.6244022103
31	0.6230504304
32	0.6218699746
33	0.6202625084
34	0.6185283849
35	0.6182317737
36	0.6165696768
37	0.6146646769
38	0.6125313437
39	0.6109357045
40	0.6106312742
41	0.6102655161
42	0.60871977
43	0.6079715033
44	0.6066284546
45	0.6044707852
46	0.6030787517
47	0.601080262
48	0.5997754279
49	0.5996394077
50	0.5986798655
51	0.597408049
52	0.5958957549
53	0.5947978963
54	0.5932842126
55	0.5917577338
56	0.5902588116
57	0.5891807148
58	0.5881411216
59	0.5871821824
60	0.5861776879
61	0.5847030223
62	0.5836761167
63	0.5821937101
64	0.5813509534
65	0.5804275954
66	0.5792775294
67	0.5783954179
68	0.5774459132
69	0.5765476082
70	0.5761391809
71	0.5754249536
72	0.5750441689
73	0.5742949926
74	0.5739845029
75	0.5725782894
76	0.5721291637
77	0.5714031981
78	0.5703579159
79	0.5701136125
80	0.5689578932
81	0.5680630358
82	0.5670169662
83	0.5659713015
84	0.5651692914
85	0.5645436272
86	0.5641592099
87	0.5636069915
88	0.5634432131
89	0.5628157539
90	0.5620172181
91	0.5612818294
92	0.560474264
93	0.5595852809
94	0.5593179515
95	0.5586035908
96	0.5584612938
97	0.5581469666
98	0.5575574165
99	0.5568393613
