iter	Logloss
0	0.6911306069
1	0.6888535905
2	0.6870286852
3	0.6842443349
4	0.681440655
5	0.6791051187
6	0.676296362
7	0.6742917523
8	0.6719884223
9	0.6706355611
10	0.6688969028
11	0.6675034932
12	0.6648217985
13	0.6624991672
14	0.6604047569
15	0.6586597644
16	0.6559949063
17	0.6540056568
18	0.653368214
19	0.6514522922
20	0.6493532379
21	0.6470705867
22	0.6456362411
23	0.6444522462
24	0.6425344773
25	0.640787443
26	0.6389384217
27	0.6370768769
28	0.6359764043
29	0.6344268047
30	0.6320892511
31	0.6308846369
32	0.6299800392
33	0.628104823
34	0.6271893934
35	0.625835713
36	0.6243653515
37	0.6226390165
38	0.6213892046
39	0.619714442
40	0.6183042244
41	0.617049297
42	0.6162836776
43	0.6151922974
44	0.6134641137
45	0.6127095815
46	0.6110393055
47	0.6101197027
48	0.6091098092
49	0.6081958605
50	0.6067597456
51	0.6056481918
52	0.6044993941
53	0.6034742246
54	0.6025419802
55	0.601836179
56	0.6009814297
57	0.6002041838
58	0.5984922212
59	0.5973604342
60	0.5958618425
61	0.5944784086
62	0.5935447048
63	0.5923171556
64	0.5908209292
65	0.5902445211
66	0.5893334706
67	0.5880442085
68	0.5873053224
69	0.5858317712
70	0.5847381342
71	0.5836043028
72	0.5826873085
73	0.5815057503
74	0.5807579796
75	0.5798453064
76	0.5790874238
77	0.5787904972
78	0.5777268896
79	0.5769212666
80	0.5758839902
81	0.5747449655
82	0.5742205682
83	0.5736589385
84	0.5725714689
85	0.5718420549
86	0.5706607746
87	0.5698813052
88	0.5692444861
89	0.5683783411
90	0.567325692
91	0.5662299128
92	0.5655400916
93	0.5649040037
94	0.5641497045
95	0.5633893437
96	0.562407879
97	0.561778682
98	0.560820632
99	0.5600961373
100	0.5589976563
101	0.557926437
102	0.5573890326
103	0.5570508128
104	0.5562770505
105	0.5554124675
106	0.5547892881
107	0.5537953414
108	0.5534364712
109	0.5521887354
110	0.5515073175
111	0.5506018839
112	0.5499400688
113	0.5492554
114	0.5489397781
115	0.548609736
116	0.5481994244
117	0.5475054184
118	0.546663266
119	0.5462768446
120	0.5455581325
121	0.5450950684
122	0.544533429
123	0.5439005901
124	0.5436545704
125	0.5435373544
126	0.5431088751
127	0.5424203239
128	0.5420829366
129	0.5414868483
130	0.5411166036
131	0.5400860805
132	0.5393246042
133	0.5388029048
134	0.5381270456
135	0.5376927939
136	0.5371933558
137	0.5363604333
138	0.5353490038
139	0.5343081107
140	0.5335550556
141	0.5331202472
142	0.5327662919
143	0.5320530787
144	0.531871279
145	0.5311537647
146	0.5306662742
147	0.5303502571
148	0.5299393834
149	0.5293986472
150	0.529055055
151	0.5286036048
152	0.5282079814
153	0.5277118929
154	0.527250391
155	0.5268176915
156	0.5265916676
157	0.5260077133
158	0.525381361
159	0.5248790985
160	0.5245196691
161	0.5240616655
162	0.5238034084
163	0.523258815
164	0.5227695679
165	0.5222736039
166	0.5219901756
167	0.5214778671
168	0.520951733
169	0.5207522534
170	0.5205578026
171	0.5200046801
172	0.5197821167
173	0.5192980823
174	0.5188604748
175	0.5184047233
176	0.5177824914
177	0.5172981394
178	0.5168885
179	0.5161892388
180	0.5156669504
181	0.5152909848
182	0.5148741405
183	0.5145590303
184	0.5141760696
185	0.5137698549
186	0.5134458416
187	0.5130754886
188	0.5127521746
189	0.5123684197
190	0.5118850273
191	0.5114719589
192	0.5110078822
193	0.5107355892
194	0.5106611345
195	0.5100594467
196	0.5098444759
197	0.5094831321
198	0.5091923562
199	0.5088382143
200	0.5084420568
201	0.508061945
202	0.5076789117
203	0.5072938601
204	0.506941401
205	0.5064723596
206	0.506328445
207	0.5058995584
208	0.5055419027
209	0.5053002391
210	0.5049504791
211	0.5047652378
212	0.5044872284
213	0.5043298703
214	0.5039903504
215	0.5036790568
216	0.5035220423
217	0.5032048994
218	0.5028466377
219	0.5023783363
220	0.502060452
221	0.5015643946
222	0.501198707
223	0.5010135256
224	0.5006476576
225	0.5004251509
226	0.5001061733
227	0.4997958125
228	0.4994878379
229	0.4990696708
230	0.4989186746
231	0.4986747337
232	0.4983433594
233	0.497968713
234	0.4977229889
235	0.4975399842
236	0.4972724072
237	0.4971507393
238	0.496810601
239	0.4965439868
240	0.4963135384
241	0.4960242358
242	0.4957776887
243	0.4955420671
244	0.4953183617
245	0.4951330553
246	0.4948167285
247	0.4947182965
248	0.4945784987
249	0.4943397229
250	0.4941126562
251	0.4939351197
252	0.4937758902
253	0.4934400708
254	0.493193433
255	0.4931060064
256	0.4928739957
257	0.492587657
258	0.4923487274
259	0.4919971444
260	0.4918502161
261	0.4915326513
262	0.4912421371
263	0.4910929671
264	0.4909020275
265	0.4907166974
266	0.4903837864
267	0.49006432
268	0.4899347336
269	0.4896417008
270	0.4893039895
271	0.4891656873
272	0.4889016227
273	0.4887491815
274	0.4884728746
275	0.4883658908
276	0.4880774014
277	0.487935474
278	0.4877175712
279	0.4875888823
280	0.4871766392
281	0.4867568932
282	0.486634498
283	0.486483752
284	0.4862515052
285	0.486002268
286	0.4857512169
287	0.4855601895
288	0.4853329106
289	0.4850094404
290	0.4847149465
291	0.4845317177
292	0.4843310267
293	0.4840845783
294	0.4840209396
295	0.4839186854
296	0.4834787122
297	0.4833726186
298	0.4831124407
299	0.482734799
300	0.482545708
301	0.4823918735
302	0.4821105173
303	0.48179477
304	0.4816802361
305	0.4814676018
306	0.4812904342
307	0.4811023886
308	0.4810005012
309	0.4808314226
310	0.4806456362
311	0.4804603794
312	0.4802853918
313	0.480116273
314	0.479919925
