iter	Passed	Remaining
0	26	39770
1	37	27811
2	42	21249
3	53	19967
4	64	19258
5	76	19014
6	86	18516
7	97	18105
8	108	17987
9	119	17757
10	123	16764
11	129	16072
12	140	16092
13	147	15686
14	159	15830
15	172	16028
16	183	16022
17	196	16156
18	202	15747
19	213	15766
20	224	15798
21	237	15938
22	248	15962
23	259	15962
24	271	15998
25	277	15759
26	289	15816
27	302	15906
28	313	15898
29	321	15763
30	333	15808
31	339	15568
32	345	15361
33	352	15178
34	362	15178
35	374	15224
36	386	15265
37	398	15334
38	408	15311
39	415	15163
40	426	15193
41	435	15110
42	439	14894
43	446	14770
44	459	14842
45	464	14689
46	478	14783
47	485	14677
48	498	14749
49	506	14697
50	517	14709
51	525	14637
52	535	14626
53	547	14658
54	559	14688
55	565	14577
56	576	14593
57	586	14587
58	598	14612
59	610	14661
60	623	14697
61	633	14702
62	646	14738
63	658	14776
64	671	14824
65	683	14853
66	695	14867
67	707	14904
68	720	14946
69	733	14989
70	747	15040
71	762	15129
72	800	15653
73	810	15615
74	824	15656
75	837	15691
76	850	15718
77	864	15765
78	879	15818
79	892	15845
80	905	15865
81	922	15948
82	935	15971
83	949	16004
84	962	16021
85	973	16004
86	986	16017
87	998	16023
88	1010	16017
89	1021	16008
90	1034	16012
91	1046	16012
92	1053	15930
93	1065	15933
94	1076	15927
95	1087	15907
96	1099	15896
97	1111	15905
98	1125	15928
99	1134	15877
100	1146	15875
101	1159	15885
102	1167	15841
103	1175	15775
104	1187	15781
105	1200	15791
106	1207	15725
107	1221	15745
108	1228	15677
109	1240	15674
110	1252	15670
111	1265	15679
112	1276	15667
113	1288	15669
114	1300	15657
115	1305	15578
116	1316	15566
117	1328	15563
118	1340	15561
119	1353	15559
120	1364	15549
121	1375	15539
122	1383	15489
123	1395	15487
124	1406	15474
125	1410	15383
126	1421	15367
127	1432	15358
128	1439	15303
129	1451	15300
130	1464	15302
131	1477	15308
132	1488	15301
133	1500	15297
134	1512	15296
135	1525	15300
136	1536	15291
137	1548	15286
138	1560	15282
139	1574	15296
140	1585	15284
141	1597	15274
142	1608	15260
143	1619	15250
144	1625	15186
145	1632	15142
146	1644	15137
147	1656	15128
148	1666	15113
149	1678	15107
150	1689	15093
151	1700	15077
152	1706	15019
153	1717	15014
154	1729	15006
155	1736	14959
156	1746	14942
157	1759	14940
158	1770	14928
159	1782	14926
160	1794	14927
161	1800	14871
162	1808	14838
163	1817	14806
164	1828	14795
165	1839	14786
166	1851	14778
167	1862	14768
168	1874	14763
169	1880	14710
170	1886	14662
171	1897	14650
172	1904	14606
173	1915	14598
174	1927	14592
175	1935	14558
176	1946	14549
177	1957	14539
178	1968	14528
179	1982	14535
180	1993	14527
181	2007	14534
182	2018	14529
183	2025	14486
184	2036	14474
185	2047	14462
186	2059	14461
187	2070	14451
188	2081	14439
189	2093	14433
190	2104	14424
191	2116	14416
192	2127	14409
193	2132	14355
194	2138	14308
195	2150	14307
196	2158	14275
197	2170	14274
198	2180	14252
