iter	Passed	Remaining
0	14	21473
1	24	18466
2	31	15547
3	42	15817
4	53	16069
5	66	16463
6	77	16529
7	89	16628
8	101	16822
9	113	16926
10	118	16101
11	125	15501
12	136	15560
13	142	15156
14	155	15416
15	168	15627
16	179	15662
17	192	15887
18	198	15449
19	210	15561
20	222	15704
21	236	15887
22	247	15906
23	258	15925
24	271	16010
25	282	16018
26	290	15844
27	300	15819
28	313	15893
29	327	16044
30	335	15876
31	341	15646
32	354	15757
33	367	15836
34	380	15934
35	386	15724
36	398	15749
37	410	15798
38	422	15810
39	432	15804
40	445	15842
41	456	15857
42	468	15883
43	479	15866
44	492	15914
45	504	15941
46	516	15972
47	529	16011
48	536	15880
49	548	15916
50	560	15921
51	573	15963
52	585	15972
53	597	15995
54	606	15929
55	615	15865
56	628	15904
57	639	15910
58	652	15926
59	664	15948
60	674	15900
61	685	15902
62	697	15911
63	711	15964
64	718	15861
65	726	15777
66	738	15788
67	745	15691
68	757	15705
69	769	15717
70	781	15725
71	794	15753
72	807	15783
73	822	15840
74	834	15856
75	846	15869
76	859	15889
77	866	15788
78	877	15777
79	884	15698
80	896	15700
81	922	15948
82	934	15952
83	945	15946
84	957	15942
85	970	15955
86	981	15944
87	993	15942
88	1005	15935
89	1017	15933
90	1028	15927
91	1035	15848
92	1047	15845
93	1059	15841
94	1069	15820
95	1082	15828
96	1094	15834
97	1109	15876
98	1119	15836
99	1161	16258
100	1189	16469
101	1196	16405
102	1203	16319
103	1214	16295
104	1225	16278
105	1232	16202
106	1245	16208
107	1251	16124
108	1262	16116
109	1274	16109
110	1286	16101
111	1299	16109
112	1311	16101
113	1324	16098
114	1330	16019
115	1342	16012
116	1354	16011
117	1366	16000
118	1377	15990
119	1389	15977
120	1400	15965
121	1408	15913
122	1420	15907
123	1431	15887
124	1435	15794
125	1440	15710
126	1448	15662
127	1460	15654
128	1472	15652
129	1484	15642
130	1494	15621
131	1500	15550
132	1511	15540
133	1516	15463
134	1523	15400
135	1535	15404
136	1543	15355
137	1554	15343
138	1565	15328
139	1577	15326
140	1590	15327
141	1601	15313
142	1608	15261
143	1619	15247
144	1632	15252
145	1638	15197
146	1651	15198
147	1662	15183
148	1673	15172
149	1685	15173
150	1697	15165
