iter	Logloss
0	0.6589400653
1	0.6392225581
2	0.6271644727
3	0.617521091
4	0.6070120796
5	0.5986525714
6	0.5925302872
7	0.5763964022
8	0.5649781459
9	0.5576379708
10	0.5541767501
11	0.552678115
12	0.5522923328
13	0.5462203706
14	0.5462128095
15	0.5437546865
16	0.5383762132
17	0.5376646552
18	0.5362104247
19	0.5316136209
20	0.52916872
21	0.5266848536
22	0.5239731856
23	0.522871825
24	0.521740117
25	0.5195982585
26	0.5189023771
27	0.5183913275
28	0.5153920199
29	0.51431554
30	0.5126500176
31	0.5119353272
32	0.5104054685
33	0.5099331321
34	0.5075938358
35	0.5071020769
36	0.5060867241
37	0.5060438327
38	0.5043896279
39	0.5029855521
40	0.502943992
41	0.5012867429
42	0.5004654143
43	0.4996683652
44	0.4987192553
45	0.49787997
46	0.4975164897
47	0.4974534006
48	0.4957041633
49	0.4956225654
50	0.4943546026
51	0.4942755098
52	0.4940852852
53	0.4934273151
54	0.4929738076
55	0.4922365724
56	0.4921105264
57	0.4914093032
58	0.4913322251
59	0.4911262122
60	0.4905551847
61	0.4905175799
62	0.4904852435
63	0.4896157671
64	0.4895011391
65	0.4892230098
66	0.4885563774
67	0.4885551964
68	0.4881968272
69	0.4873607911
70	0.487180747
71	0.4861684313
72	0.4856315249
73	0.4855766056
74	0.4846745261
75	0.4838820869
76	0.4835103978
77	0.4827860687
78	0.4815551724
79	0.4802763846
80	0.4796378249
81	0.479273438
82	0.4786848305
83	0.4780410198
84	0.4775464285
85	0.4768476421
86	0.4761293557
87	0.4750495945
88	0.4745882484
89	0.4742443779
90	0.4737668177
91	0.4732508611
92	0.472810657
93	0.4724001349
94	0.4719831743
95	0.4714897115
96	0.4710044249
97	0.4705745936
98	0.4701490881
99	0.469762423
100	0.4694571044
101	0.4690386728
102	0.4686405665
103	0.4682525345
104	0.4679955092
105	0.4676401613
106	0.4668914628
107	0.4666244658
108	0.4662958519
109	0.4659189432
110	0.465667175
111	0.4654198903
112	0.4650408608
113	0.4647308274
114	0.4643613402
115	0.4640580893
116	0.463766866
117	0.4634282725
118	0.4631534247
119	0.4626113901
120	0.4622895243
121	0.4621000747
122	0.4618762683
123	0.4616098244
124	0.4614071487
125	0.4609980008
126	0.4607694819
127	0.4604827589
128	0.4602431677
129	0.4600009961
130	0.4597146286
131	0.4595034655
132	0.4592281673
133	0.4590426329
134	0.4586953741
135	0.4583255049
136	0.4581378728
137	0.4579166129
138	0.4577130154
139	0.4575253791
140	0.4573314613
141	0.4571849413
142	0.4570014592
143	0.4567994962
144	0.4566237624
145	0.4564740744
146	0.4563024482
147	0.4561631401
148	0.4558474087
149	0.4556726974
150	0.4553468216
151	0.4552068511
152	0.4549656488
153	0.4547986916
154	0.454557005
155	0.4544385717
156	0.4543098019
157	0.4541175693
158	0.4539587981
159	0.4537957651
160	0.4536531533
161	0.4533856059
162	0.4532504869
163	0.4531272807
164	0.4529745246
165	0.4527994223
166	0.4525936045
167	0.452483267
168	0.4522405479
169	0.4520691626
170	0.4519261902
171	0.4518043069
172	0.4516443087
173	0.4514622385
174	0.4513223016
175	0.4511917175
176	0.4510411465
177	0.45094649
178	0.450811948
179	0.4506405143
180	0.4505208715
181	0.4503283919
182	0.4502365982
183	0.4500666484
184	0.4499466486
185	0.4497598592
186	0.4496782414
187	0.4495067693
188	0.4494079433
189	0.4492521246
190	0.4490978239
191	0.4489462049
192	0.4487722061
193	0.4486572753
194	0.4485067387
195	0.4482950289
196	0.4481756472
197	0.4480716883
198	0.4479953175
199	0.4478942666
200	0.4477095444
201	0.4475521098
202	0.4474280468
203	0.447312608
204	0.4471593638
205	0.4470462658
206	0.4469066243
207	0.4467582404
208	0.4466704813
209	0.4464877475
210	0.4463946855
211	0.4462906591
212	0.4461419905
213	0.4460047196
214	0.4458124739
215	0.4456385662
216	0.4454905728
217	0.4454134936
218	0.4453210806
219	0.4452196841
220	0.4451019136
221	0.444948424
222	0.4448429826
223	0.4445891916
224	0.4444521073
225	0.444326977
226	0.4442205782
227	0.4440670688
228	0.4438467271
229	0.4436942907
230	0.4435761574
231	0.4434016819
232	0.4433403931
233	0.4432550711
234	0.4431502966
235	0.4430472869
236	0.442947121
237	0.4428701953
238	0.4427891349
239	0.4425335303
240	0.4423922623
241	0.442256528
