iter	Logloss
0	0.6898859054
1	0.6886173543
2	0.685491828
3	0.6823026016
4	0.6813309737
5	0.6784370105
6	0.6746782035
7	0.6719884767
8	0.6683494823
9	0.6646996222
10	0.6621551749
11	0.6602230817
12	0.6571877472
13	0.6549419524
14	0.6531705835
15	0.64982096
16	0.6485058348
17	0.6455699799
18	0.6434792829
19	0.6412123852
20	0.6400218925
21	0.6381785682
22	0.6362371129
23	0.6351895888
24	0.6337426621
25	0.6322170002
26	0.6311413716
27	0.6297037665
28	0.6287429631
29	0.6275322832
30	0.6268864987
31	0.6255831003
32	0.6240200538
33	0.621981414
34	0.6210801803
35	0.6188533165
36	0.6169634409
37	0.6155081144
38	0.6147105128
39	0.6124110701
40	0.6097732625
41	0.6091767931
42	0.6074316634
43	0.6068334225
44	0.6055176693
45	0.6042973555
46	0.6035568036
47	0.6023774277
48	0.6011019934
49	0.6000984298
50	0.5993806211
51	0.5979874434
52	0.5969110543
53	0.5957944796
54	0.5946560229
55	0.593629568
56	0.5921336272
57	0.5911889624
58	0.5895323994
59	0.5881447841
60	0.5869631555
61	0.5859150922
62	0.5852819039
63	0.5842408593
64	0.5835960744
65	0.5825962773
66	0.5820410766
67	0.5807496063
68	0.5797827827
69	0.5792734003
70	0.5788212259
71	0.5782079735
72	0.5778570706
73	0.5775110817
74	0.5761974948
75	0.5756131684
76	0.574343223
77	0.5730948811
78	0.5724459019
79	0.5719929229
80	0.570651217
81	0.570040744
82	0.5693773305
83	0.568662475
84	0.5673473576
85	0.5670639825
86	0.5663000342
87	0.5661525407
88	0.5656212948
89	0.565167826
90	0.5648788016
91	0.5643911182
92	0.5634820871
93	0.562543824
94	0.5623129775
95	0.5615559251
96	0.5604608762
97	0.5598233858
98	0.5587728865
99	0.5581506522
