iter	Passed	Remaining
0	16	1676
1	33	1648
2	54	1766
3	75	1810
4	96	1831
5	117	1841
6	138	1838
7	159	1835
8	181	1834
9	202	1819
10	223	1806
11	239	1757
12	260	1743
13	283	1740
14	304	1723
15	326	1713
16	348	1703
17	371	1692
18	394	1683
19	418	1672
20	441	1661
21	466	1652
22	489	1638
23	513	1625
24	536	1608
25	560	1595
26	583	1578
27	606	1560
28	629	1542
29	655	1530
30	680	1513
31	701	1490
32	724	1470
33	745	1446
34	765	1422
35	786	1398
36	807	1374
37	828	1351
38	851	1331
39	872	1308
40	893	1285
41	914	1263
42	935	1240
43	959	1221
44	983	1201
45	1005	1180
46	1031	1162
47	1055	1143
48	1079	1124
49	1105	1105
50	1132	1087
51	1156	1067
52	1180	1047
53	1201	1023
54	1223	1001
55	1245	978
56	1266	955
57	1287	932
58	1309	909
59	1336	890
60	1360	869
61	1380	845
62	1403	824
63	1426	802
64	1449	780
65	1472	758
66	1499	738
67	1529	719
68	1551	696
69	1573	674
70	1596	652
71	1619	629
72	1645	608
73	1668	586
74	1693	564
75	1714	541
76	1736	518
77	1756	495
78	1777	472
79	1798	449
80	1818	426
81	1839	403
82	1860	381
83	1881	358
84	1902	335
85	1923	313
86	1944	290
87	1965	268
88	1985	245
89	2007	223
90	2028	200
91	2048	178
92	2069	155
93	2090	133
94	2110	111
95	2131	88
96	2152	66
97	2173	44
98	2194	22
99	2214	0
